cartodb_id,the_geom,pop2000,fips,county,state,in_per_capita,in_pop,transport,nonroad,unknown,aircraft,cement,onroad,electricityprod,residential,industrial,commercial,total_per_capita,total
23,,49129,1045,Dale County,AL,1.720720823,10.80220477,4.859961946,0.092538862,1.255290768,0.499382763,0,3.012749553,3.04718e-05,0.235381814,0.379993709,0.113187433,5.588555373,274560.1369
24,,46365,1047,Dallas County,AL,0.846257893,10.74430014,1.756875073,0.142030627,0.257558857,0.102462684,0,1.254822905,0,0.236823819,0.242397605,0.094811509,2.330908005,108072.5497
25,,64452,1049,DeKalb County,AL,1.043082021,11.07367604,2.162767726,0.165496798,0.068960437,0.027434,0,1.900876491,0,0.216057674,0.382542038,0.076582733,2.837950172,182911.5645
26,,65874,1051,Elmore County,AL,0.81413664,11.09549911,1.728868311,0.156780784,0.161407976,0.064211693,0,1.346467858,0,0.22673484,0.254701145,0.046921736,2.257226033,148692.5077
27,,38440,1053,Escambia County,AL,2.108442642,10.55685386,5.982631318,0.125886282,2.615767698,1.040610915,0,2.200366422,0.000368694,0.22480687,1.945956663,0.081642276,8.23540582,316568.9997
28,,103459,1055,Etowah County,AL,1.407061193,11.54693068,1.810031269,0.086085208,0.068007637,0.027054965,0,1.628883458,1.778262116,0.235288991,0.156034195,0.10431928,4.083935851,422519.9192
29,,18495,1057,Fayette County,AL,1.00582998,9.825255704,2.236345058,0.118717113,0.223243939,0.088811464,0,1.805572542,0,0.230408601,0.194513875,0.072908108,2.734175643,50568.57851
3133,,25786,56029,Park County,WY,1.799703067,10.15758699,2.96761373,0.322004719,0.439170864,0.174711957,0,2.03172619,0,0.472319501,2.267737954,0.340180207,6.047851392,155949.896
30,,31223,1059,Franklin County,AL,1.137675546,10.34891028,2.500683885,0.134438852,0.173933124,0.069194506,0,2.123117403,0,0.224112937,0.332437921,0.062274033,3.119508775,97400.42249
31,,25764,1061,Geneva County,AL,0.824550384,10.15673345,1.897567451,0.187254675,0.103749623,0.041273904,0,1.565289248,0,0.22840271,0.107311279,0.047573585,2.280855025,58763.94888
32,,9974,1063,Greene County,AL,4.683904907,9.207736986,5.464815906,0.294237415,0,0,0,5.170578491,102.3902358,0.230142873,0.061714231,0.044818658,108.1917274,1079104.29
33,,17185,1065,Hale County,AL,1.197248328,9.751792189,2.006304977,0.191937304,0.032788773,0.013044063,0,1.768534836,0,0.231010233,1.039692882,0.033985516,3.310993607,56899.42514
34,,16310,1067,Henry County,AL,1.417591025,9.699533696,3.656191165,0.250869249,0.678794451,0.27003974,0,2.456487724,0,0.228078123,0.183603378,0.059293548,4.127166214,67314.08096
35,,88787,1069,Houston County,AL,0.927679979,11.39399552,1.901446347,0.14754688,0,0,0,1.753899468,0,0.228461966,0.220324949,0.178402616,2.528635878,224509.9937
36,,53926,1071,Jackson County,AL,4.039258943,10.89536802,2.344439502,0.212724678,0.038753419,0.015416972,0,2.077544435,49.89684866,0.22554405,4.262619673,0.054794979,56.78424686,3062147.296
37,,662047,1073,Jefferson County,AL,2.430084652,13.40309183,2.017936604,0.14205225,0.144185125,0.057360072,0.125461583,1.674339157,7.347942997,0.233598717,1.392235281,0.242668485,11.35984367,7520750.421
38,,15904,1075,Lamar County,AL,0.996008523,9.674325929,2.120334509,0.152957022,0,0,0,1.967377487,0,0.23708475,0.305041847,0.044992389,2.707453494,43059.34038
39,,87966,1077,Lauderdale County,AL,0.724781706,11.38470566,1.557707845,0.159089671,0,0,0,1.398618174,0,0.225822024,0.160037908,0.120712654,2.064280431,181586.4924
40,,34803,1079,Lawrence County,AL,0.915871447,10.45745887,2.108931441,0.198595338,0.102674163,0.040846073,0,1.766815868,0,0.229148985,0.126526315,0.034345266,2.498952007,86971.0267
41,,115092,1081,Lee County,AL,1.285236554,11.65348709,1.688655352,0.139226021,0.155022868,0.061671561,0,1.332734903,1.397605058,0.208771867,0.232564948,0.087925898,3.615523123,416117.7873
42,,65676,1083,Limestone County,AL,1.376806744,11.09248884,3.464883451,0.387184691,0.758960528,0.301931461,0,2.016806771,0,0.226418432,0.204365342,0.066561767,3.962228992,260223.3513
43,,13473,1085,Lowndes County,AL,2.391637974,9.508442962,4.129089715,0.227453223,0,0,0,3.901636491,6.376275704,0.227325677,0.175173144,0.023520369,10.93138461,147278.5448
44,,24105,1087,Macon County,AL,1.35940139,10.09017457,3.55295249,0.094148254,0.218644195,0.08698153,0,3.153178511,0,0.224239473,0.003473653,0.113196083,3.893861699,93861.53626
45,,276700,1089,Madison County,AL,0.905700934,12.53068917,1.874359771,0.141739513,0.197013312,0.078376299,0,1.457230648,0,0.238538617,0.189494523,0.171272281,2.473665192,684463.1586
46,,22539,1091,Marengo County,AL,2.353877258,10.02300242,2.237659553,0.256149831,0.064023598,0.025470009,4.390368256,1.892016114,0,0.24197226,3.588749929,0.067553899,10.5263039,237252.3635
47,,31214,1093,Marion County,AL,1.300941372,10.34862199,2.986799298,0.131844865,0.188473328,0.074978889,0,2.591502215,0,0.229884022,0.385088529,0.07098062,3.672752468,114641.2955
48,,82231,1095,Marshall County,AL,0.919013122,11.31728764,1.61430354,0.197751324,0.114041673,0.045368348,0,1.257142196,0,0.230594488,0.562448677,0.099468542,2.506815247,206137.9246
49,,399843,1097,Mobile County,AL,2.60319798,12.89882725,1.759909605,0.119039575,0.263011618,0.104631906,0.419822389,1.273226507,9.720607497,0.235049726,1.229153251,0.142321249,13.50686372,5400624.91
50,,24324,1099,Monroe County,AL,1.104007458,10.0992188,2.033904816,0.210925892,0.237882133,0.094634782,0,1.490462009,0,0.231595953,0.656146032,0.094582445,3.016229247,73366.76021
51,,223510,1101,Montgomery County,AL,0.937535135,12.31721143,2.039289063,0.138623863,0.17103784,0.06804268,0,1.66158468,0,0.227069016,0.100131294,0.187189807,2.55367918,570772.8334
52,,111064,1103,Morgan County,AL,1.740134556,11.61786189,1.763916864,0.141705243,0.03716125,0.014783583,0,1.570266787,0.777837862,0.232663605,2.745322597,0.17836916,5.698110089,632854.8989
53,,11861,1105,Perry County,AL,0.981302793,9.381010986,2.181144271,0.165873908,0.047096907,0.018736177,0,1.949437279,0,0.249879188,0.186182343,0.050723936,2.667929738,31644.31462
54,,20949,1107,Pickens County,AL,0.983591458,9.949846192,2.242326916,0.158376997,0.114210793,0.04543561,0,1.924303517,0,0.236785141,0.152042102,0.042888569,2.674042729,56018.52113
55,,29605,1109,Pike County,AL,1.403137034,10.29569854,3.571018626,0.162853761,0.974101599,0.387519406,0,2.046543859,0,0.226183849,0.185693524,0.085045241,4.06794124,120431.4004
56,,22380,1111,Randolph County,AL,1.524797734,10.01592298,1.533930062,0.131326642,0.037573351,0.014947525,0,1.350082544,0,0.212877497,2.799476787,0.047929875,4.59421422,102818.5143
57,,49756,1113,Russell County,AL,1.116232749,10.81488634,1.933101153,0.093006096,0,0,0,1.840095057,0,0.236834903,0.816652896,0.066740896,3.053329849,151921.48
58,,64742,1115,St. Clair County,AL,1.582664009,11.07816542,2.854475718,0.147059208,0.149697211,0.05955288,1.625203458,2.498166418,0,0.232090915,0.101795711,0.054340899,4.8679067,315158.0156
59,,143293,1117,Shelby County,AL,3.272888176,11.87264676,1.832251214,0.297258421,0.039768148,0.015820657,1.187658826,1.479403987,22.91337037,0.240355143,0.084145606,0.12965982,26.38744098,3781135.58
60,,14798,1119,Sumter County,AL,1.542170835,9.602247315,4.19845649,0.196633895,0.00919119,0.003656448,0,3.988974957,0,0.248617908,0.171972588,0.055680342,4.674727328,69176.615
61,,80321,1121,Talladega County,AL,1.07409364,11.29378639,2.04004721,0.136387934,0.321648923,0.127959142,0,1.454051211,0,0.227175543,0.591772054,0.068343668,2.927338476,235126.7537
62,,41475,1123,Tallapoosa County,AL,1.258909746,10.63284612,2.193603247,0.18674278,0.242933725,0.09664444,0,1.667282302,0,0.228707858,0.794613052,0.304655819,3.521579977,146057.5295
63,,164875,1125,Tuscaloosa County,AL,1.397318682,12.01294289,2.437547903,0.163283762,0.140745407,0.055991666,0,2.077527068,0.001293884,0.230358642,1.241720906,0.133419918,4.044341252,666810.764
64,,70713,1127,Walker County,AL,3.443933736,11.16638471,1.948541023,0.115498819,0.128800959,0.051239903,0,1.653001342,28.98717109,0.237687206,0.05571805,0.080763675,31.30988104,2214015.618
65,,18097,1129,Washington County,AL,4.280800867,9.803501458,2.138612102,0.182871677,0,0,0,1.955740424,68.29957185,0.230259107,1.603643526,0.026231601,72.29831818,1308382.664
66,,13183,1131,Wilcox County,AL,6.467233391,9.4866834,2.301335915,0.345173591,0.066488117,0.026450489,0,1.863223718,0,0.239850895,641.1195871,0.039619725,643.7003936,8485902.289
67,,24843,1133,Winston County,AL,1.005311956,10.1203313,1.882428529,0.22827764,0.110625889,0.044009485,0,1.499515515,0,0.231938149,0.558430662,0.0599623,2.73275964,67889.94774
68,,2697,2013,Aleutians East Borough,AK,4.30436391,7.899895323,14.45036049,0.472581309,10.21944749,2.069883966,0,1.68844772,4.118607664,0.309511745,54.74085925,0.402776619,74.02211576,199637.6462
69,,5465,2016,Aleutians West Census Area,AK,4.003717545,8.606119401,3.280471011,0.369069397,1.4456656,0.292810323,0,1.172925692,3.039782763,0.34876833,47.2944951,0.837981645,54.80149885,299490.1912
70,,260283,2020,Anchorage Municipality,AK,2.003179409,12.46952478,3.096904948,0.199444601,1.572216879,0.318442511,0,1.006800957,0.005525919,0.731861469,2.196903082,1.381390901,7.412586319,1929370.205
71,,16006,2050,Bethel Census Area,AK,3.068535716,9.680718931,19.18245571,0.235082963,14.46449072,2.929690426,0,1.553191598,0.473168127,0.413178246,0.574552598,0.867027615,21.51038229,344295.179
72,,1258,2060,Bristol Bay Borough,AK,4.508695866,7.137278437,81.6174059,0.477085199,66.09622174,13.38736849,0,1.656730468,0,0.630088335,7.60871028,0.947117089,90.8033216,114230.5786
73,,1893,2068,Denali Borough,AK,2.946139386,7.545918151,4.496696711,0.28399231,2.011225404,0.407360885,0,1.794118112,12.67266463,1.534060523,0,0.328913355,19.03233522,36028.21057
74,,4922,2070,Dillingham Census Area,AK,3.839587383,8.501470231,30.60542802,0.284370621,23.67672872,4.795570523,0,1.848758159,0,0.521038989,14.44194575,0.937868427,46.50628119,228903.916
75,,82840,2090,Fairbanks North Star Borough,AK,2.604591388,11.32466632,2.92242776,0.158578133,1.794335923,0.363431306,0,0.606082397,4.30143204,0.809510007,4.500834107,0.9914935,13.52569741,1120468.774
76,,2392,2100,Haines Borough,AK,2.735950053,7.779885115,14.2225714,0.20386966,10.20027178,2.066000062,0,1.752429893,0,0.522365441,0.089420578,0.59003305,15.42439047,36895.142
77,,30711,2110,Juneau City and Borough,AK,2.37878214,10.33237618,8.6962505,0.134964805,6.440454658,1.304473053,0,0.816357983,0.01657711,0.493998035,0.459811263,1.125115104,10.79175201,331425.496
78,,49691,2122,Kenai Peninsula Borough,AK,2.860385487,10.81357911,4.236072802,0.172069444,2.006914328,0.406487712,0,1.650601317,0.701554349,0.698879834,11.08974764,0.742004811,17.46825943,868015.2795
79,,14070,2130,Ketchikan Gateway Borough,AK,2.277881615,9.55180015,2.244224734,0.151634684,1.020608763,0.2067178,0,0.865263487,0,0.554280825,5.788332562,1.16915344,9.755991562,137266.8013
80,,13913,2150,Kodiak Island Borough,AK,2.791498622,9.540578934,9.453559601,0.204588494,6.970668641,1.411864513,0,0.866437953,0,0.495578337,5.669044851,0.687254398,16.30543719,226857.5476
81,,1823,2164,Lake and Peninsula Borough,AK,3.856989211,7.508238775,46.32626487,1.608243283,35.85092603,7.261376692,0,1.605718858,0,0.503383627,0.288262327,0.204747329,47.32265815,86269.20581
82,,59322,2170,Matanuska-Susitna Borough,AK,1.580450974,10.99073551,3.457357544,0.126364284,1.512458392,0.30633881,0,1.512196059,0,0.66940407,0.154141288,0.576242864,4.857145765,288135.6011
83,,9196,2180,Nome Census Area,AK,3.112854522,9.126523886,21.00067201,0.25950315,16.06464818,3.253792139,0,1.422728547,0.164399868,0.476175222,0.057144652,0.786745449,22.48513721,206773.3217
84,,7385,2185,North Slope Borough,AK,5.935100931,8.907206195,16.4046342,0.366255319,12.43810644,2.51925921,0,1.081013235,35.14630077,0.573766631,323.7639035,2.189549091,378.0781541,2792107.168
85,,7208,2188,Northwest Arctic Borough,AK,3.398892983,8.882946799,26.74943062,0.246678936,20.94846866,4.242978844,0,1.311304174,2.05122768,0.413420126,8.42985e-05,0.716784906,29.93094763,215742.2705
86,,6146,2201,Prince of Wales-Outer Ketchikan Census Are,AK,2.448782242,8.723556743,9.720070814,1.025177047,5.821653957,1.179138898,0,1.694100912,0,0.475423619,0.974460242,0.404288827,11.5742435,71135.30056
87,,8835,2220,Sitka City and Borough,AK,2.055107648,9.086476385,4.925777942,0.177253854,3.278747792,0.664089468,0,0.805686827,0,0.488519488,1.264964653,1.128416224,7.807678307,68980.83784
88,,850,2232,Skagway-Hoonah-Angoon Census Area,AK,4.307739984,6.745236349,66.37992141,1.453505969,48.16636475,9.755790173,0,7.004260513,0,2.312323063,3.709427451,1.870770268,74.27244219,63131.57586
89,,6174,2240,Southeast Fairbanks Census Area,AK,2.612390518,8.728102205,12.44748238,0.186887864,8.826945771,1.787841616,0,1.645807132,0,0.390893481,0.459310208,0.333912443,13.63159852,84161.48923
90,,10195,2261,Valdez-Cordova Census Area,AK,3.160351307,9.229652683,5.744043943,0.306993825,3.031013395,0.613912446,0,1.792124276,3.466847004,0.598776323,13.01681987,0.752390751,23.57887789,240386.6601
91,,7028,2270,Wade Hampton Census Area,AK,3.231032776,8.857657449,24.47375994,0.203141888,18.63358557,3.774114026,0,1.862918455,0,0.357477963,0.074772655,0.399768115,25.30577867,177849.0125
92,,6684,2280,Wrangell-Petersburg Census Area,AK,2.479924019,8.80747189,9.404891347,0.255406352,6.559732312,1.328631972,0,1.261120711,0,0.583020074,1.248035144,0.704410581,11.94035715,79809.34717
93,,808,2282,Yakutat City and Borough,AK,4.210647291,6.694562059,23.78509895,0.78174865,17.72910438,3.590917191,0,1.683328735,0,0.525723352,42.6110918,0.478239075,67.40015318,54459.32377
94,,6551,2290,Yukon-Koyukuk Census Area,AK,4.213307659,8.787372989,66.90833282,0.440750468,53.81248377,10.8993757,0,1.755722892,0,0.343732843,0,0.327635493,67.57970116,442714.6223
95,,69423,4001,Apache County,AZ,3.845152418,11.1479735,3.20644921,0.067437019,0.138861678,0.055242298,0,2.944908214,43.35722326,0.088844327,0.011016223,0.102278754,46.76581177,3246622.951
96,,117755,4003,Cochise County,AZ,2.329475346,11.67636147,3.390803747,0.142442484,0.610947574,0.243048604,0,2.394365086,6.453548726,0.217921814,0.098716052,0.11156024,10.27255058,1209644.194
97,,116320,4005,Coconino County,AZ,3.879905254,11.66410029,4.105107277,0.193015809,0.758798665,0.301867086,0,2.851425717,43.55123455,0.186240509,0.199265062,0.377779897,48.41962729,5632171.046
98,,51335,4007,Gila County,AZ,0.948794357,10.84612806,2.100006696,0.275603881,0.231392717,0.092053211,0,1.500956888,0,0.214402444,0.207444265,0.060740691,2.582594096,132577.4679
99,,33489,4009,Graham County,AZ,0.659560165,10.41897231,1.648375722,0.129153112,0.149941551,0.059650115,0,1.309630945,0,0.169558585,0.048015248,0.067991978,1.933941533,64765.76799
100,,8547,4011,Greenlee County,AZ,0.6785759,9.053335623,1.678289952,0.074623181,0.493019133,0.196133956,0,0.914513682,0.003005085,0.221919157,0.010518548,0.057335993,1.971068734,16846.72447
101,,19715,4012,La Paz County,AZ,1.944538765,9.889135046,6.605020537,0.354238445,0.246720176,0.098150763,0,5.905911153,0,0.2083877,0.083125169,0.093873487,6.990406892,137815.8719
102,,3072149,4013,Maricopa County,AZ,0.890001334,14.93788787,1.852837633,0.19184131,0.250320309,0.099583018,0,1.311092996,0.186550584,0.084392497,0.086838847,0.224513339,2.435132899,7481091.102
103,,155032,4015,Mohave County,AZ,1.876790598,11.95138683,2.995605322,0.289379516,0.248695033,0.098936439,0,2.358594334,3.098602461,0.159485959,0.135999454,0.142812548,6.532505745,1012747.431
104,,97470,4017,Navajo County,AZ,3.262696737,11.48729992,3.158597254,0.106393048,0.330544773,0.131498092,0,2.590161342,21.21622439,0.145390468,1.536879918,0.062788677,26.11988071,2545904.773
105,,843746,4019,Pima County,AZ,0.956486253,13.64560678,1.624900407,0.130577091,0.196397696,0.078131395,0.147273676,1.219794225,0.373592989,0.183497432,0.185442925,0.087828307,2.602535736,2195879.117
106,,179727,4021,Pinal County,AZ,1.675937219,12.09919431,2.702756205,0.248335173,0.181851576,0.072344629,0,2.200224828,2.394053422,0.11945688,0.09065848,0.036876126,5.343801113,960425.3427
107,,38381,4023,Santa Cruz County,AZ,1.115826554,10.55531782,2.663061701,0.154375785,0.246249674,0.097963624,0,2.164472619,0.01483934,0.165644031,0.114282384,0.094262397,3.052089853,117142.2606
108,,167517,4025,Yavapai County,AZ,1.523005138,12.02884012,3.314076482,0.164169054,0.702303417,0.279392007,0.822534718,2.168212004,0.008799594,0.236827682,0.10974773,0.093999823,4.585986028,768230.6215
109,,160026,4027,Yuma County,AZ,1.094303092,11.98309158,2.413071805,0.164593407,0.551151848,0.219260527,0,1.478066023,0.320672511,0.099095074,0.069036638,0.085224195,2.987100223,478013.7003
110,,20749,5001,Arkansas County,AR,1.804548293,9.940253332,3.915258657,0.761046349,1.126831602,0.448278817,0,1.579101889,0,0.288191764,1.713242254,0.160533029,6.077225705,126096.3561
111,,24209,5003,Ashley County,AR,1.833742132,10.09447974,1.839018455,0.339683782,0.048394976,0.019252556,0,1.431687142,0,0.263631251,4.066903141,0.08770554,6.257258387,151481.9683
112,,38386,5005,Baxter County,AR,1.089086973,10.55544809,1.726524345,0.231166274,0.26519855,0.105501928,0,1.124657594,0,0.365368823,0.660385255,0.219281295,2.971559719,114066.2914
113,,153406,5007,Benton County,AR,2.273561691,11.94084328,1.957657232,0.187031856,0.365883195,0.145556532,0,1.259185648,6.279225993,0.38406126,0.77719106,0.315801771,9.713937315,1490176.268
114,,33948,5009,Boone County,AR,1.119190275,10.43258522,1.764100964,0.145560671,0.110072721,0.043789369,0,1.464678203,0,0.344773681,0.662538142,0.290960732,3.062373519,103961.4562
115,,12600,5011,Bradley County,AR,0.953230217,9.441452093,1.738127448,0.235804297,0.094342053,0.037531299,0,1.3704498,0,0.256285706,0.466959194,0.132703219,2.594075567,32685.35214
116,,5744,5013,Calhoun County,AR,1.572391642,8.655911111,3.308328308,0.243006369,0,0,0,3.065321939,0,0.302572095,1.141469252,0.06578808,4.818157735,27675.49803
117,,25357,5015,Carroll County,AR,1.322648606,10.14081011,1.987198701,0.189859371,0.262558839,0.10445178,0,1.430328711,0,0.354372329,1.236257896,0.175520441,3.753349367,95173.6799
118,,14117,5017,Chicot County,AR,1.646682291,9.555135024,4.259978567,0.694255841,1.185200991,0.47149947,0,1.909022266,0,0.254665503,0.574996589,0.100092552,5.189733211,73263.46374
119,,23546,5019,Clark County,AR,1.765187071,10.06671123,3.520599768,0.210760466,0.444801574,0.176951939,0,2.688085788,0,0.253198341,1.922454497,0.146412639,5.842665246,137571.3959
120,,17609,5021,Clay County,AR,1.548587141,9.776165414,2.957332969,0.603455276,0.738766169,0.29389763,0,1.321213894,0,0.453136703,1.18499979,0.109348778,4.704818241,82847.1444
121,,24046,5023,Cleburne County,AR,1.053569535,10.08772394,1.776450893,0.239045945,0.226371154,0.090055541,0,1.220978253,0,0.33606181,0.622012102,0.133345026,2.867869831,68960.79796
122,,8571,5025,Cleveland County,AR,0.953823817,9.056139691,2.211648885,0.169639392,0,0,0,2.042009493,0,0.239205771,0.1105238,0.034237411,2.595615868,22247.0236
123,,25603,5027,Columbia County,AR,1.222828604,10.15046481,1.86728093,0.17889876,0.115274507,0.045858767,0,1.527248896,0.057182487,0.265061285,1.082353101,0.124904506,3.396782309,86967.81746
124,,20336,5029,Conway County,AR,2.44521647,9.920147993,3.50001795,0.248294872,0.146942594,0.058457132,0,3.046323352,0,0.243627634,7.64888173,0.140518572,11.53304589,234536.0211
125,,82148,5031,Craighead County,AR,1.164537807,11.31627778,1.749157765,0.231545872,0.134601057,0.053547313,0,1.329463523,0.004266316,0.343308137,0.853147699,0.254561552,3.20444147,263238.4579
126,,53247,5033,Crawford County,AR,1.144435115,10.88269674,1.99780419,0.121308498,0,0,0,1.876495692,0,0.276639101,0.716873979,0.14934947,3.140666739,167231.0818
127,,50866,5035,Crittenden County,AR,1.323421128,10.83695,2.877149129,0.296141783,0.136179622,0.054175289,0,2.390652436,0.121204975,0.273606528,0.323603488,0.160685911,3.756250031,191065.4141
128,,19526,5037,Cross County,AR,1.142649972,9.87950219,2.154473335,0.552512813,0.1568815,0.062410981,0,1.382668041,0,0.293747907,0.558587545,0.128256415,3.135065203,61215.28315
129,,9210,5039,Dallas County,AR,1.173771779,9.128045129,2.050752101,0.216150352,0.020510668,0.008159628,0,1.805931453,0,0.250142081,0.803971718,0.12930233,3.234168229,29786.68939
130,,15341,5041,Desha County,AR,2.015165793,9.638284262,3.000845518,0.762551191,0.523875459,0.208409319,0,1.506009548,0,0.264052895,4.120112236,0.116960401,7.501971049,115087.7379
131,,18723,5043,Drew County,AR,1.26195403,9.837507994,2.005694273,0.25591288,0.075689644,0.030110956,0,1.643980792,0,0.282622549,1.044429102,0.199571079,3.532317003,66135.57125
132,,86014,5045,Faulkner County,AR,1.070456292,11.36226535,1.797768562,0.171884733,0.052471495,0.020874322,0,1.552538012,0,0.233244678,0.681466349,0.20423048,2.916710069,250877.8999
133,,17771,5047,Franklin County,AR,1.699798007,9.785323194,2.747056719,0.203577382,0.077705798,0.03091303,0,2.434860509,0.323800442,0.276194615,2.036240905,0.089549122,5.472841803,97257.87169
134,,11642,5049,Fulton County,AR,0.907563156,9.362374528,1.862207112,0.171773912,0,0,0,1.6904332,0,0.299502005,0.233656329,0.082910553,2.478275998,28852.08917
135,,88068,5051,Garland County,AR,0.904879576,11.38586452,1.527648778,0.135395683,0.111777123,0.044467438,0,1.236008534,0,0.287895109,0.421213159,0.234877215,2.47163426,217671.886
136,,16464,5053,Grant County,AR,1.102843125,9.708931458,1.973249599,0.167698389,0.138284474,0.055012667,0,1.612254069,0,0.266987715,0.711566251,0.060915831,3.012719396,49601.41214
137,,37331,5055,Greene County,AR,1.306135289,10.52757936,1.875138693,0.305662478,0.257948421,0.102617655,0,1.208910139,0,0.25963508,1.394229547,0.162874745,3.691878065,137821.5
